,RoomCount,Floor,Size(m2),District,Price(TL),Age_labeled
87,4,4.0,150.0,Altındağ,2992500,8
88,4,2.0,135.0,Altındağ,3600000,1
89,4,8.0,150.0,Altındağ,3442500,8
90,5,5.0,250.0,Altındağ,4425000,0
91,4,1.0,120.0,Altındağ,2512500,8
92,3,1.0,78.0,Altındağ,1441500,5
93,4,6.0,160.0,Altındağ,3748500,0
94,4,6.0,175.0,Altındağ,4275000,0
95,3,4.0,72.0,Altındağ,1875000,5
96,3,4.0,78.0,Altındağ,1245000,5
97,4,7.0,140.0,Altındağ,4470000,0
98,4,3.0,150.0,Altındağ,5760000,0
99,4,0.0,100.0,Altındağ,1725000,5
100,3,12.0,93.0,Altındağ,2475000,8
101,3,2.0,70.0,Altındağ,1350000,5
102,4,3.0,135.0,Altındağ,2430000,8
103,3,1.0,130.0,Altındağ,1470000,2
104,4,2.0,140.0,Altındağ,3712500,4
105,4,1.0,130.0,Altındağ,3592500,0
106,4,1.0,130.0,Altındağ,2233500,8
107,4,3.0,130.0,Altındağ,2385000,8
108,4,2.0,135.0,Altındağ,2983500,7
109,3,1.0,110.0,Altındağ,1575000,8
111,5,2.0,189.0,Altındağ,6225000,0
112,3,14.0,90.0,Altındağ,2212500,2
113,4,1.0,125.0,Altındağ,2400000,8
114,3,1.0,110.0,Altındağ,3868500,0
115,4,3.0,160.0,Altındağ,5475000,0
116,3,4.0,77.0,Altındağ,1125000,5
118,4,7.0,190.0,Altındağ,6217500,0
119,4,1.0,160.0,Altındağ,3300000,0
120,4,2.0,160.0,Altındağ,5475000,0
121,4,-1.0,145.0,Altındağ,2295000,7
122,4,1.0,140.0,Altındağ,2775000,8
123,3,10.0,85.0,Altındağ,2293500,8
126,6,8.0,209.0,Altındağ,5685000,0
127,4,2.0,140.0,Altındağ,4215000,8
128,4,2.0,120.0,Altındağ,2827500,4
129,6,4.0,245.0,Altındağ,5250000,8
130,3,2.0,95.0,Altındağ,1395000,5
131,2,1.0,80.0,Altındağ,1200000,0
132,4,3.0,110.0,Altındağ,4875000,5
133,4,2.0,130.0,Altındağ,2985000,8
134,6,8.0,209.0,Altındağ,5385000,0
135,4,3.0,105.0,Altındağ,1492500,5
136,4,1.0,90.0,Altındağ,2325000,5
137,3,1.0,60.0,Altındağ,975000,5
138,4,5.0,155.0,Altındağ,4425000,4
139,4,2.0,135.0,Altındağ,4185000,7
140,4,1.0,120.0,Altındağ,2325000,8
141,4,2.0,100.0,Altındağ,1650000,5
142,4,-1.0,135.0,Altındağ,2775000,8
143,4,5.0,135.0,Altındağ,3135000,6
144,3,0.0,100.0,Altındağ,1650000,2
145,4,2.0,135.0,Altındağ,3900000,6
146,4,1.0,125.0,Altındağ,2325000,8
148,4,2.0,150.0,Altındağ,4162500,8
149,4,1.0,140.0,Altındağ,3375000,8
150,4,1.0,135.0,Altındağ,2512500,8
151,7,3.0,200.0,Altındağ,6405000,8
152,4,1.0,145.0,Altındağ,2670000,7
153,3,2.0,78.0,Altındağ,1153500,5
154,4,0.0,120.0,Altındağ,2325000,7
155,4,7.0,135.0,Altındağ,2775000,0
156,4,1.0,130.0,Altındağ,3300000,1
157,4,9.0,160.0,Altındağ,3405000,7
158,3,0.0,85.0,Altındağ,1950000,8
159,4,2.0,130.0,Altındağ,2835000,0
160,3,1.0,115.0,Altındağ,1491000,2
161,4,1.0,135.0,Altındağ,2848500,8
162,2,0.0,60.0,Altındağ,787500,5
163,5,3.0,167.0,Altındağ,2925000,8
164,3,1.0,110.0,Altındağ,1635000,8
165,5,4.0,145.0,Altındağ,2925000,8
166,4,6.0,160.0,Altındağ,4050000,8
167,3,0.0,100.0,Altındağ,2100000,2
168,4,-1.0,105.0,Altındağ,2212500,8
169,4,4.0,150.0,Altındağ,3000000,8
170,4,3.0,135.0,Altındağ,3270000,6
171,3,1.0,125.0,Altındağ,2227500,2
173,5,5.0,170.0,Altındağ,4500000,7
174,3,2.0,85.0,Altındağ,1875000,2
175,4,2.0,140.0,Altındağ,3930000,0
176,4,2.0,150.0,Altındağ,3975000,7
177,4,-3.0,115.0,Altındağ,1933500,8
178,4,3.0,130.0,Altındağ,3112500,8
179,4,5.0,130.0,Altındağ,3825000,8
180,4,3.0,140.0,Altındağ,4200000,0
181,4,2.0,130.0,Altındağ,2625000,8
182,4,1.0,130.0,Altındağ,2212500,2
183,4,0.0,125.0,Altındağ,2625000,2
184,4,1.0,140.0,Altındağ,2887500,8
185,4,0.0,115.0,Altındağ,1950000,2
186,4,1.0,140.0,Altındağ,2917500,8
187,4,2.0,130.0,Altındağ,2947500,7
188,3,-1.0,115.0,Altındağ,1650000,2
189,4,1.0,145.0,Altındağ,2775000,2
190,4,1.0,135.0,Altındağ,2685000,8
191,4,1.0,130.0,Altındağ,3675000,7
192,5,9.0,160.0,Altındağ,3840000,4
193,4,1.0,135.0,Altındağ,3855000,2
194,4,3.0,100.0,Altındağ,2077500,5
195,4,0.0,100.0,Altındağ,2362500,5
196,4,-1.0,140.0,Altındağ,2248500,7
197,3,0.0,105.0,Altındağ,2158500,0
198,4,3.0,145.0,Altındağ,3975000,7
199,4,2.0,130.0,Altındağ,2848500,2
200,4,1.0,130.0,Altındağ,2205000,2
201,4,4.0,150.0,Altındağ,3253500,7
202,3,2.0,87.0,Altındağ,1303500,5
203,3,1.0,78.0,Altındağ,1350000,5
204,3,1.0,72.0,Altındağ,1275000,5
205,4,2.0,135.0,Altındağ,2430000,8
206,4,5.0,185.0,Altındağ,4500000,8
207,4,3.0,130.0,Altındağ,3450000,8
208,4,6.0,145.0,Altındağ,3540000,0
213,5,10.0,160.0,Altındağ,2218500,8
214,3,0.0,110.0,Altındağ,2099999,1
215,4,2.0,145.0,Altındağ,3825000,6
216,4,1.0,125.0,Altındağ,2100000,8
217,4,3.0,145.0,Altındağ,3112500,8
218,5,4.0,180.0,Altındağ,5235000,0
219,3,4.0,100.0,Altındağ,2377500,3
221,4,2.0,140.0,Altındağ,2887500,8
222,4,3.0,140.0,Altındağ,3525000,0
223,4,5.0,135.0,Altındağ,4200000,0
224,4,3.0,120.0,Altındağ,3898500,0
225,4,2.0,140.0,Altındağ,3225000,8
226,4,2.0,130.0,Altındağ,2700000,8
227,4,1.0,145.0,Altındağ,2790000,2
228,4,1.0,135.0,Altındağ,2749500,8
229,4,-1.0,140.0,Altındağ,2625000,7
230,4,2.0,130.0,Altındağ,3207000,5
231,5,3.0,210.0,Altındağ,4125000,8
232,5,8.0,210.0,Altındağ,9150000,0
233,4,14.0,180.0,Altındağ,7500000,1
234,5,3.0,200.0,Altındağ,7500000,1
235,4,2.0,140.0,Altındağ,3592500,7
236,4,2.0,130.0,Altındağ,2362500,2
237,4,2.0,120.0,Altındağ,2287500,2
238,6,3.0,170.0,Altındağ,3075000,2
239,4,3.0,95.0,Altındağ,2160000,5
240,4,1.0,130.0,Altındağ,3862500,4
241,4,1.0,125.0,Altındağ,4335000,8
242,8,12.0,320.0,Altındağ,8400000,8
243,4,6.0,166.0,Altındağ,4125000,6
244,5,1.0,175.0,Altındağ,2835000,4
245,4,0.0,117.0,Altındağ,2173500,8
246,4,4.0,125.0,Altındağ,3300000,0
248,3,1.0,115.0,Altındağ,1185000,5
249,5,12.0,155.0,Altındağ,7425000,1
250,7,4.0,235.0,Altındağ,3525000,8
251,4,0.0,130.0,Altındağ,3150000,2
252,4,3.0,145.0,Altındağ,3562500,8
253,5,6.0,205.0,Altındağ,9210000,0
254,4,3.0,145.0,Altındağ,4050000,7
255,5,13.0,165.0,Altındağ,5235000,0
256,4,2.0,140.0,Altındağ,5385000,5
257,4,1.0,130.0,Altındağ,6450000,3
258,4,1.0,145.0,Altındağ,3525000,1
259,4,1.0,135.0,Altındağ,3525000,6
260,4,3.0,165.0,Altındağ,4575000,7
261,4,2.0,125.0,Altındağ,3900000,8
263,3,2.0,87.0,Altındağ,1050000,5
264,4,2.0,119.0,Altındağ,1650000,5
265,3,1.0,80.0,Altındağ,1123500,5
266,4,0.0,120.0,Altındağ,2347500,2
267,4,2.0,125.0,Altındağ,2640000,2
268,4,2.0,135.0,Altındağ,2625000,8
269,3,-2.0,105.0,Altındağ,2175000,8
270,4,12.0,135.0,Altındağ,2775000,2
271,4,2.0,145.0,Altındağ,3750000,8
272,4,1.0,125.0,Altındağ,4852500,5
273,4,1.0,120.0,Altındağ,2325000,2
274,4,1.0,130.0,Altındağ,3150000,2
275,4,0.0,130.0,Altındağ,2700000,0
276,4,1.0,130.0,Altındağ,2175000,6
277,4,1.0,140.0,Altındağ,2662500,8
278,4,3.0,150.0,Altındağ,3225000,0
279,4,-1.0,120.0,Altındağ,1845000,2
280,4,3.0,150.0,Altındağ,2475000,2
281,4,2.0,115.0,Altındağ,3300000,0
282,4,13.0,135.0,Altındağ,3525000,8
285,4,1.0,78.0,Altındağ,1408500,5
286,4,3.0,130.0,Altındağ,2722500,8
287,4,0.0,125.0,Altındağ,2361000,7
288,4,1.0,110.0,Altındağ,3000000,5
289,4,3.0,140.0,Altındağ,2775000,8
290,4,2.0,140.0,Altındağ,2475000,2
291,3,-1.0,110.0,Altındağ,1777500,2
292,4,12.0,180.0,Altındağ,4125000,1
293,4,1.0,135.0,Altındağ,2212500,3
294,4,2.0,150.0,Altındağ,4650000,0
295,6,3.0,275.0,Altındağ,3525000,7
297,5,12.0,145.0,Altındağ,2325000,8
299,4,1.0,125.0,Altındağ,3000000,0
300,4,2.0,140.0,Altındağ,3150000,7
301,4,3.0,140.0,Altındağ,2362500,8
303,4,2.0,145.0,Altındağ,3825000,0
304,4,5.0,145.0,Altındağ,4350000,1
305,4,1.0,135.0,Altındağ,2625000,8
306,4,1.0,130.0,Altındağ,2625000,8
307,5,3.0,220.0,Altındağ,3735000,2
308,4,3.0,135.0,Altındağ,2685000,8
309,6,3.0,300.0,Altındağ,4725000,7
310,4,5.0,140.0,Altındağ,3420000,7
311,4,3.0,135.0,Altındağ,3225000,8
312,4,3.0,140.0,Altındağ,3112500,8
313,4,1.0,115.0,Altındağ,2445000,7
315,4,2.0,150.0,Altındağ,3750000,0
316,6,3.0,310.0,Altındağ,4425000,7
318,3,-1.0,135.0,Altındağ,1860000,4
319,4,3.0,140.0,Altındağ,3000000,1
321,4,2.0,135.0,Altındağ,4275000,8
322,4,4.0,135.0,Altındağ,3637500,8
324,4,1.0,110.0,Altındağ,2070000,8
325,3,1.0,90.0,Altındağ,1738500,5
326,4,4.0,135.0,Altındağ,2700000,3
327,4,4.0,130.0,Altındağ,3847500,0
328,4,4.0,160.0,Altındağ,3375000,8
329,4,1.0,149.0,Altındağ,2017500,2
330,3,0.0,255.0,Altındağ,1117500,0
331,4,1.0,120.0,Altındağ,2625000,0
332,3,1.0,110.0,Altındağ,1935000,2
333,4,0.0,130.0,Altındağ,2325000,8
334,4,1.0,140.0,Altındağ,2850000,8
335,4,5.0,160.0,Altındağ,4762500,4
336,4,-2.0,150.0,Altındağ,2362500,0
337,5,1.0,160.0,Altındağ,2700000,8
338,4,2.0,125.0,Altındağ,4125000,8
339,4,2.0,120.0,Altındağ,3600000,8
340,3,1.0,90.0,Altındağ,2025000,2
341,7,1.0,170.0,Altındağ,5250000,0
342,4,1.0,130.0,Altındağ,2100000,3
343,4,0.0,130.0,Altındağ,2203500,8
344,4,1.0,135.0,Altındağ,2893500,8
345,4,0.0,160.0,Altındağ,2730000,1
346,4,9.0,160.0,Altındağ,3885000,0
347,4,2.0,120.0,Altındağ,2077500,2
348,4,-1.0,130.0,Altındağ,2385000,8
349,4,3.0,125.0,Altındağ,2475000,3
350,4,1.0,120.0,Altındağ,2145000,8
352,4,7.0,175.0,Altındağ,5100000,0
353,4,-1.0,130.0,Altındağ,2572500,8
354,4,1.0,145.0,Altındağ,2788500,7
355,5,2.0,165.0,Altındağ,3885000,8
356,4,2.0,129.0,Altındağ,2775000,8
357,3,-1.0,125.0,Altındağ,1719000,2
358,4,3.0,155.0,Altındağ,3562500,8
359,3,2.0,125.0,Altındağ,2550000,7
360,4,1.0,120.0,Altındağ,2182500,3
361,4,1.0,130.0,Altındağ,2700000,8
362,4,2.0,135.0,Altındağ,2250000,8
363,4,2.0,145.0,Altındağ,3615000,8
364,4,4.0,135.0,Altındağ,2392500,2
365,3,1.0,110.0,Altındağ,1875000,2
366,4,-2.0,120.0,Altındağ,1905000,8
367,4,3.0,140.0,Altındağ,2458500,2
368,4,-2.0,120.0,Altındağ,2218500,8
369,4,2.0,135.0,Altındağ,5100000,7
370,4,5.0,145.0,Altındağ,5475000,0
371,4,4.0,150.0,Altındağ,3900000,7
372,4,-1.0,100.0,Altındağ,1755000,2
373,4,3.0,135.0,Altındağ,2625000,2
374,6,3.0,260.0,Altındağ,5325000,7
375,4,5.0,105.0,Altındağ,2947500,0
376,4,1.0,140.0,Altındağ,3180000,0
377,4,-1.0,120.0,Altındağ,2700000,4
378,4,0.0,120.0,Altındağ,2490000,4
380,4,-1.0,105.0,Altındağ,2625000,2
381,2,-2.0,65.0,Altındağ,1162500,5
382,4,3.0,140.0,Altındağ,2670000,8
383,4,-1.0,120.0,Altındağ,1890000,2
384,4,1.0,135.0,Altındağ,2362500,2
385,4,5.0,185.0,Altındağ,6150000,8
387,4,2.0,125.0,Altındağ,2775000,2
389,4,1.0,125.0,Altındağ,2475000,1
390,4,6.0,125.0,Altındağ,3225000,1
391,4,1.0,145.0,Altındağ,2625000,8
392,4,2.0,140.0,Altındağ,3075000,7
394,4,-1.0,115.0,Altındağ,1650000,2
395,4,1.0,120.0,Altındağ,2182500,2
396,5,3.0,200.0,Altındağ,4200000,8
397,4,1.0,130.0,Altındağ,2250000,2
398,4,8.0,140.0,Altındağ,5287500,7
399,6,5.0,160.0,Altındağ,4125000,8
400,4,5.0,155.0,Altındağ,4800000,6
401,4,2.0,160.0,Altındağ,3225000,8
402,4,-1.0,135.0,Altındağ,2085000,8
403,5,4.0,160.0,Altındağ,2625000,2
404,4,2.0,119.0,Altındağ,2842500,8
405,4,1.0,135.0,Altındağ,2248500,8
406,4,-1.0,130.0,Altındağ,1875000,8
407,5,9.0,218.0,Altındağ,6150000,7
408,4,1.0,145.0,Altındağ,2623500,6
409,4,3.0,130.0,Altındağ,2625000,8
410,4,0.0,125.0,Altındağ,1927500,2
411,4,1.0,130.0,Altındağ,3450000,4
412,4,2.0,135.0,Altındağ,3150000,4
413,4,2.0,135.0,Altındağ,3150000,6
414,4,5.0,145.0,Altındağ,3135000,4
416,4,3.0,130.0,Altındağ,2805000,8
417,4,2.0,110.0,Altındağ,2775000,2
418,4,8.0,150.0,Altındağ,3000000,8
419,3,-3.0,100.0,Altındağ,2055000,2
420,4,3.0,130.0,Altındağ,3180000,8
421,5,11.0,166.0,Altındağ,2437500,2
422,5,1.0,172.0,Altındağ,4485000,6
423,4,1.0,125.0,Altındağ,2317500,8
424,4,12.0,135.0,Altındağ,3075000,2
425,4,9.0,170.0,Altındağ,3750000,0
426,3,1.0,110.0,Altındağ,2070000,8
427,3,2.0,110.0,Altındağ,3420000,7
428,4,8.0,145.0,Altındağ,3840000,7
429,3,1.0,95.0,Altındağ,2512500,8
431,4,0.0,120.0,Altındağ,2362500,0
432,4,3.0,150.0,Altındağ,3870000,7
433,4,-1.0,110.0,Altındağ,1650000,2
434,5,9.0,185.0,Altındağ,6675000,1
435,7,3.0,350.0,Altındağ,3600000,2
436,4,4.0,140.0,Altındağ,2377500,2
437,4,-1.0,100.0,Altındağ,1575000,2
438,3,-1.0,135.0,Altındağ,1875000,8
439,4,1.0,130.0,Altındağ,3075000,4
440,4,2.0,130.0,Altındağ,3210000,8
441,4,2.0,125.0,Altındağ,2250000,8
442,4,1.0,140.0,Altındağ,3075000,1
443,4,4.0,120.0,Altındağ,2625000,8
444,4,9.0,165.0,Altındağ,4725000,0
445,4,2.0,160.0,Altındağ,4350000,7
446,4,1.0,115.0,Altındağ,2692500,2
447,2,0.0,100.0,Altındağ,975000,8
448,4,1.0,140.0,Altındağ,3000000,7
449,4,0.0,120.0,Altındağ,1875000,2
450,4,7.0,135.0,Altındağ,3067500,8
451,4,1.0,120.0,Altındağ,3150000,7
452,5,4.0,180.0,Altındağ,3750000,8
453,4,2.0,145.0,Altındağ,3750000,4
454,4,2.0,145.0,Altındağ,4500000,4
455,4,2.0,160.0,Altındağ,3150000,4
456,4,3.0,140.0,Altındağ,2550000,2
457,6,7.0,230.0,Altındağ,5625000,7
458,4,1.0,125.0,Altındağ,3450000,4
459,4,2.0,125.0,Altındağ,3420000,5
460,4,1.0,150.0,Altındağ,3525000,8
461,5,1.0,144.0,Altındağ,2100000,8
462,3,2.0,100.0,Altındağ,1192500,8
463,3,-1.0,100.0,Altındağ,1372500,2
464,4,1.0,145.0,Altındağ,4305000,6
465,4,3.0,125.0,Altındağ,2842500,2
466,4,1.0,130.0,Altındağ,3672000,5
467,4,1.0,170.0,Altındağ,3598500,6
468,4,2.0,144.0,Altındağ,2670000,7
469,2,1.0,125.0,Altındağ,1695000,8
470,4,1.0,130.0,Altındağ,2175000,2
471,4,1.0,145.0,Altındağ,2790000,6
472,3,1.0,95.0,Altındağ,1717500,2
473,5,-2.0,160.0,Altındağ,1888500,8
474,5,0.0,160.0,Altındağ,1813500,8
475,4,2.0,130.0,Altındağ,2370000,2
476,4,1.0,130.0,Altındağ,2370000,0
477,4,3.0,128.0,Altındağ,6900000,0
478,4,2.0,131.0,Altındağ,2685000,0
479,3,-1.0,140.0,Altındağ,1987500,4
480,4,1.0,135.0,Altındağ,2197500,8
481,4,2.0,135.0,Altındağ,2220000,8
482,4,-1.0,130.0,Altındağ,2242500,0
483,4,2.0,126.0,Altındağ,3750000,0
484,3,1.0,110.0,Altındağ,1468500,8
485,5,2.0,150.0,Altındağ,5700000,6
486,3,11.0,110.0,Altındağ,1950000,2
487,4,1.0,135.0,Altındağ,4200000,8
488,3,0.0,95.0,Altındağ,3112500,7
489,4,6.0,205.0,Altındağ,6045000,8
490,4,1.0,165.0,Altındağ,4125000,8
491,4,2.0,140.0,Altındağ,2475000,8
492,4,-1.0,80.0,Altındağ,1395000,8
493,4,1.0,130.0,Altındağ,2053500,2
494,5,3.0,230.0,Altındağ,6375000,8
496,4,1.0,145.0,Altındağ,2992500,7
498,4,6.0,150.0,Altındağ,2767500,8
499,4,3.0,140.0,Altındağ,2475000,2
500,4,1.0,120.0,Altındağ,2235000,8
501,4,1.0,135.0,Altındağ,2175000,8
502,4,1.0,145.0,Altındağ,3525000,8
503,4,1.0,135.0,Altındağ,2145000,8
504,4,3.0,135.0,Altındağ,3225000,2
505,4,2.0,185.0,Altındağ,2917500,6
506,5,8.0,160.0,Altındağ,2392500,8
507,4,3.0,130.0,Altındağ,2250000,2
508,4,2.0,120.0,Altındağ,2475000,2
509,4,6.0,159.0,Altındağ,4966500,0
510,5,3.0,169.0,Altındağ,5263500,7
512,6,1.0,180.0,Altındağ,2535000,2
513,4,1.0,130.0,Altındağ,2775000,8
514,4,2.0,100.0,Altındağ,1950000,3
515,4,2.0,130.0,Altındağ,2722500,2
516,3,11.0,110.0,Altındağ,2175000,2
517,4,3.0,135.0,Altındağ,2175000,2
518,4,3.0,135.0,Altındağ,2623500,8
519,4,4.0,120.0,Altındağ,2265000,8
520,4,-1.0,125.0,Altındağ,2070000,2
521,4,3.0,155.0,Altındağ,3225000,7
522,4,-1.0,135.0,Altındağ,2055000,2
523,4,2.0,178.0,Altındağ,5700000,8
524,4,1.0,115.0,Altındağ,4200000,8
525,4,2.0,120.0,Altındağ,2475000,8
526,4,8.0,125.0,Altındağ,2475000,8
527,4,3.0,145.0,Altındağ,2662500,8
528,4,5.0,135.0,Altındağ,3900000,7
529,4,3.0,130.0,Altındağ,2392500,2
530,4,7.0,145.0,Altındağ,5970000,7
531,4,0.0,125.0,Altındağ,2602500,7
533,4,1.0,119.0,Altındağ,1402500,5
534,4,1.0,130.0,Altındağ,2175000,8
535,4,1.0,135.0,Altındağ,2325000,7
537,4,0.0,110.0,Altındağ,2625000,8
538,3,5.0,90.0,Altındağ,3675000,5
539,4,2.0,140.0,Altındağ,4500000,0
540,4,1.0,128.0,Altındağ,2325000,8
542,4,3.0,135.0,Altındağ,2535000,8
543,3,1.0,110.0,Altındağ,1950000,8
544,4,5.0,150.0,Altındağ,4498500,8
545,4,4.0,120.0,Altındağ,2550000,8
546,4,-1.0,135.0,Altındağ,2100000,8
547,4,2.0,130.0,Altındağ,2998500,0
548,3,1.0,100.0,Altındağ,1920000,2
549,4,3.0,140.0,Altındağ,2445000,2
550,4,3.0,135.0,Altındağ,2085000,2
551,4,5.0,135.0,Altındağ,7125000,8
552,4,1.0,130.0,Altındağ,3127500,2
553,4,2.0,140.0,Altındağ,5250000,8
554,4,1.0,135.0,Altındağ,2085000,2
555,4,1.0,140.0,Altındağ,3450000,6
556,4,2.0,120.0,Altındağ,2520000,8
557,4,1.0,135.0,Altındağ,2400000,0
558,6,3.0,270.0,Altındağ,3975000,8
559,4,1.0,135.0,Altındağ,3562500,8
562,5,11.0,162.0,Altındağ,7425000,8
563,3,1.0,125.0,Altındağ,1567500,8
564,4,2.0,120.0,Altındağ,2437500,4
565,4,1.0,120.0,Altındağ,1633500,0
566,4,2.0,140.0,Altındağ,2398500,8
567,4,1.0,135.0,Altındağ,2850000,8
568,2,1.0,75.0,Altındağ,1492500,5
569,5,0.0,125.0,Altındağ,1942500,2
570,4,1.0,120.0,Altındağ,4050000,2
571,4,1.0,120.0,Altındağ,2370000,2
572,4,1.0,145.0,Altındağ,2623500,2
573,4,0.0,100.0,Altındağ,1687500,2
574,4,3.0,135.0,Altındağ,2662500,8
575,4,2.0,130.0,Altındağ,2757000,8
576,4,1.0,105.0,Altındağ,2248500,2
577,5,2.0,130.0,Altındağ,2925000,0
578,4,5.0,135.0,Altındağ,3375000,4
579,4,1.0,135.0,Altındağ,2518500,8
580,4,5.0,140.0,Altındağ,5100000,0
581,5,4.0,175.0,Altındağ,5625000,0
582,3,10.0,100.0,Altındağ,2293500,2
584,4,8.0,165.0,Altındağ,3435000,1
585,4,0.0,125.0,Altındağ,1950000,2
587,3,2.0,119.0,Altındağ,1104000,5
588,4,3.0,140.0,Altındağ,2280000,8
589,4,1.0,130.0,Altındağ,1945500,2
590,4,1.0,120.0,Altındağ,2077500,8
591,4,1.0,120.0,Altındağ,2137500,2
592,4,4.0,140.0,Altındağ,4125000,4
593,5,7.0,177.0,Altındağ,3900000,0
594,4,1.0,135.0,Altındağ,2662500,4
596,4,1.0,122.0,Altındağ,3000000,2
597,5,3.0,160.0,Altındağ,3210000,8
598,3,0.0,130.0,Altındağ,3150000,8
599,5,7.0,160.0,Altındağ,3795000,0
600,4,7.0,160.0,Altındağ,3795000,0
601,4,2.0,120.0,Altındağ,2640000,8
602,4,-1.0,120.0,Altındağ,2025000,6
603,4,0.0,115.0,Altındağ,1687500,2
604,4,1.0,125.0,Altındağ,2130000,3
605,4,-1.0,125.0,Altındağ,2062500,7
606,5,1.0,165.0,Altındağ,1875000,2
607,5,0.0,145.0,Altındağ,2475000,6
608,4,4.0,165.0,Altındağ,4125000,6
609,4,1.0,135.0,Altındağ,2790000,8
610,4,4.0,130.0,Altındağ,2400000,8
611,4,1.0,125.0,Altındağ,2805000,8
612,4,2.0,145.0,Altındağ,4042500,0
613,3,0.0,90.0,Altındağ,2025000,8
614,5,2.0,145.0,Altındağ,2925000,2
615,4,1.0,130.0,Altındağ,2137500,2
616,4,1.0,140.0,Altındağ,2459250,8
617,4,1.0,145.0,Altındağ,3000000,8
618,4,2.0,140.0,Altındağ,3180000,0
619,4,3.0,145.0,Altındağ,3000000,8
620,4,5.0,145.0,Altındağ,3825000,7
621,4,5.0,155.0,Altındağ,4423500,4
622,4,5.0,130.0,Altındağ,3525000,0
623,4,1.0,185.0,Altındağ,3570000,6
624,4,1.0,125.0,Altındağ,2512500,3
625,3,2.0,87.0,Altındağ,1138500,5
626,4,3.0,135.0,Altındağ,2625000,8
627,5,9.0,170.0,Altındağ,5400000,0
